iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	94.25225	476.0125	98.17999999999999	478	98.17999999999999	478	4.892369985580444
1	94.45824999999999	475.2125	99.15	480	99.15	480	10.536741256713867
2	94.478375	471.9625	99.15	480	99.15	480	11.2191162109375
3	94.63025	470.3875	105.1	479	105.1	479	10.982259273529053
4	94.622625	472.3875	105.1	479	105.1	479	11.757726192474365
5	94.912375	471.875	105.1	479	105.1	479	11.954542398452759
6	95.011625	471.85	105.1	479	105.1	479	12.146397352218628
7	95.3045	472.2625	105.1	479	105.1	479	11.668864488601685
8	95.343125	470.875	105.1	479	105.1	479	12.11772108078003
9	95.2385	472.675	105.1	479	105.1	479	11.096033573150635
10	95.38925	471.2125	113.97	483	113.97	483	12.00499439239502
11	95.47075	470.4875	113.97	483	113.97	483	10.141404867172241
12	96.176375	470.4625	113.97	483	113.97	483	11.791570663452148
13	96.19025	471.55	113.97	483	113.97	483	10.473354816436768
14	96.654375	473.4	126.85	482	126.85	482	10.974676609039307
15	96.5605	472.8875	126.85	482	126.85	482	10.518945217132568
16	96.784125	474.0375	126.85	482	126.85	482	11.214340925216675
17	96.784625	473.9875	126.85	482	126.85	482	13.575496435165405
18	97.472625	474.4875	130.81	482	130.81	482	10.781332731246948
19	97.09175	474.2125	130.81	482	130.81	482	10.48247480392456
20	99.47725	476.975	137.64000000000001	492	137.64000000000001	492	12.90277099609375
21	98.68025	477.475	137.64000000000001	492	137.64000000000001	492	13.229363203048706
22	98.867	477.3625	137.64000000000001	492	137.64000000000001	492	13.536701917648315
23	100.89825	479.6625	137.64000000000001	492	137.64000000000001	492	15.109095096588135
24	101.14825	479.4125	144.43	506	144.43	506	16.72136902809143
25	100.74249999999999	480.3875	144.43	506	144.43	506	19.753132104873657
26	100.96575	481.575	144.43	506	144.43	506	33.62886190414429
27	104.549375	485.8	144.43	506	144.43	506	23.4904842376709
28	103.69925	489.1375	144.43	506	144.43	506	25.861145496368408
29	103.998625	488.9	144.43	506	144.43	506	72.10372114181519
30	105.836625	494.4375	144.43	506	144.43	506	38.873605489730835
