iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.025	475.125	102.0	478	102.0	478	4.783334732055664
1	100.05	476.4125	102.0	478	102.0	478	11.380534887313843
2	100.0625	476.0875	102.0	478	102.0	478	11.57673168182373
3	100.175	478.6	105.0	496	105.0	496	12.9140625
4	100.3875	484.7125	107.0	493	107.0	493	14.819191455841064
5	100.9375	481.9	125.0	505	125.0	505	19.651846408843994
6	101.9125	485.6	125.0	505	125.0	505	18.669602870941162
7	102.3625	486.125	125.0	505	125.0	505	19.725169897079468
8	103.0125	490	130.0	518	130.0	518	26.369321823120117
9	102.55	492.2625	130.0	518	130.0	518	19.433464765548706
10	102.6875	489.2125	130.0	518	130.0	518	23.669944763183594
11	101.8375	485.8	130.0	518	130.0	518	14.311203241348267
12	104.6375	492.9625	147.0	534	147.0	534	31.621025800704956
13	105.05	500.0875	147.0	534	147.0	534	36.606360912323
14	105.4375	501.85	147.0	534	147.0	534	59.80287528038025
15	107.825	507.3875	147.0	534	147.0	534	55.849788665771484
16	104.4875	494.275	147.0	534	147.0	534	68.26801800727844
17	106.1625	506.6375	147.0	534	147.0	534	117.28208494186401
18	104.0	499.6375	147.0	534	147.0	534	45.813695669174194
19	104.8625	500.55	152.0	559	152.0	559	58.9712917804718
20	103.275	501.75	152.0	559	152.0	559	44.07361364364624
21	106.3375	509.225	152.0	559	152.0	559	152.31834435462952
22	104.7125	502.975	152.0	559	152.0	559	65.65297436714172
23	106.275	510.15	152.0	559	152.0	559	220.37008595466614
24	106.925	516.8	152.0	559	152.0	559	125.62800121307373
25	109.875	534.1125	152.0	559	152.0	559	312.0865261554718
26	107.5625	527	152.0	559	152.0	559	604.7895522117615
27	107.95	532.725	152.0	559	152.0	559	405.8227128982544
28	107.575	529.5125	152.0	559	152.0	559	682.2020168304443
29	107.8625	547.0125	152.0	559	152.0	559	318.43364572525024
30	107.825	548.325	152.0	559	152.0	559	530.8246188163757
