iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	98.7563125	487.25	109.47250000000001	500	109.47250000000001	500	8.424537897109985
1	98.89896875	485.05	109.47250000000001	500	109.47250000000001	500	14.551023960113525
2	99.12287500000001	485.2625	109.47250000000001	500	109.47250000000001	500	13.738661289215088
3	99.66193750000001	484.1	127.435	497	127.435	497	12.072823762893677
4	100.05646875000001	485.8875	127.435	497	127.435	497	17.205627918243408
5	100.67790625	486.6875	127.435	497	127.435	497	17.100353717803955
6	101.933	488.3875	127.435	497	127.435	497	22.236372709274292
7	104.38946875	493.325	144.35000000000002	514	144.35000000000002	514	27.43171739578247
8	102.35359375	489.725	144.35000000000002	514	144.35000000000002	514	17.938233137130737
9	103.46325	489.75	144.35000000000002	514	144.35000000000002	514	36.55007886886597
10	104.00903125	495.875	144.35000000000002	514	144.35000000000002	514	25.45335078239441
11	103.77771875	493.6375	144.35000000000002	514	144.35000000000002	514	21.730716943740845
12	104.5130625	498.75	144.35000000000002	514	144.35000000000002	514	34.24193739891052
13	106.62475	501.95	144.35000000000002	514	144.35000000000002	514	61.697279930114746
14	107.27821875000001	504.9	144.35000000000002	514	144.35000000000002	514	101.96896290779114
15	108.99615625	510.9875	153.34	509	153.34	509	161.71553874015808
16	107.8124375	510.6625	153.34	509	153.34	509	145.4052290916443
17	110.01771875	511.3375	153.34	509	153.34	509	111.6080756187439
18	111.471125	513.5125	153.34	509	153.34	509	123.68827223777771
19	109.46703125	517.15	153.34	509	153.34	509	201.13883543014526
20	111.9529375	520.2875	153.34	509	153.34	509	278.3670880794525
21	114.72415625000001	524.0125	153.34	509	153.34	509	174.27378511428833
22	109.14353125000001	516.875	153.34	509	153.34	509	171.37672901153564
23	111.0141875	521.725	153.34	509	153.34	509	169.46022295951843
24	111.9000625	521.4875	153.34	509	153.34	509	184.5111083984375
25	112.34046875	519.8875	153.34	509	153.34	509	224.80887150764465
26	110.39584375	514.7	153.34	509	153.34	509	169.74838399887085
27	108.8406875	513.325	153.34	509	153.34	509	118.76607942581177
28	107.96275	510.3875	153.34	509	153.34	509	93.12029767036438
29	108.39959375000001	510.2125	153.34	509	153.34	509	90.33455085754395
30	112.5425625	518.85	153.34	509	153.34	509	223.78771090507507
