iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.03750000000001	451.8125	102.93397177419355	460	102.93397177419355	460	4.550188779830933
1	100.13750000000002	448.6	102.90806451612903	460	102.90806451612903	460	10.913049936294556
2	100.2	447.975	102.90302419354838	460	102.90302419354838	460	9.26101016998291
3	100.425	449.5375	103.89949596774193	462	103.89949596774193	462	10.306248664855955
4	101.225	453.65	128.93266129032259	462	128.93266129032259	462	11.787612915039062
5	101.2875	453.2125	128.92913306451612	462	128.92913306451612	462	11.121984720230104
6	101.2125	452.85	128.92620967741937	462	128.92620967741937	462	10.433553457260132
7	101.5	454.725	128.9413306451613	462	128.9413306451613	462	11.93710446357727
8	102.475	459.6375	128.98094758064516	462	128.98094758064516	462	15.37210726737976
9	102.3625	460.0625	128.984375	462	128.984375	462	14.724197387695312
10	102.8625	461.35	128.99475806451613	462	128.99475806451613	462	17.646245002746582
11	102.7875	460.4	128.98709677419356	462	128.98709677419356	462	14.243356943130491
12	103.66250000000001	461.275	128.99415322580646	462	128.99415322580646	462	15.00939440727234
13	104.66250000000001	461.225	133.95342741935482	467	133.95342741935482	467	18.423991680145264
14	104.1875	466.0625	133.99243951612902	467	133.99243951612902	467	42.47259497642517
15	104.5	465.075	133.9844758064516	467	133.9844758064516	467	20.846007347106934
16	106.9	467.2625	143.88921370967742	481	143.88921370967742	481	26.83994674682617
17	105.625	466.7375	147.64304435483874	511	147.64304435483874	511	30.95859122276306
18	106.225	465.7375	147.63497983870968	511	147.63497983870968	511	88.77219367027283
19	108.80000000000001	474.8625	147.9585685483871	480	147.9585685483871	480	57.257797718048096
20	107.96249999999999	473.275	147.94576612903228	480	147.94576612903228	480	38.65613007545471
21	107.2875	476.3	147.97016129032258	480	147.97016129032258	480	30.49205493927002
22	109.0375	476.525	147.9719758064516	480	147.9719758064516	480	60.587045431137085
23	110.1125	479.5625	166.89969758064515	492	166.89969758064515	492	73.55321073532104
24	108.91250000000001	485.3	166.94596774193545	492	166.94596774193545	492	187.81204390525815
25	117.05	501.525	167.07681451612902	492	167.07681451612902	492	258.68732953071594
26	112.17500000000001	492.6875	167.0055443548387	492	167.0055443548387	492	294.3449037075043
27	111.6	512.2	167.16290322580645	492	167.16290322580645	492	441.6631944179535
28	113.0	520.225	167.22762096774193	492	167.22762096774193	492	642.0311372280121
29	111.775	508.475	167.1328629032258	492	167.1328629032258	492	320.7255475521088
30	114.1625	518.4375	167.21320564516128	492	167.21320564516128	492	394.6876816749573
