iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.975	451.95	100.0	446	100.0	446	6.308943748474121
1	100.0125	450.3125	101.0	459	101.0	459	10.695415019989014
2	100.0125	450.6375	101.0	459	101.0	459	8.871964454650879
3	100.1125	451.525	108.0	472	108.0	472	13.210817813873291
4	100.325	454.2125	112.0	459	112.0	459	9.679574012756348
5	100.4625	456.025	112.0	459	112.0	459	12.30906367301941
6	100.7125	457.0125	112.0	459	112.0	459	17.537490367889404
7	101.0	459.6875	132.0	472	132.0	472	13.221742868423462
8	101.325	457.1875	132.0	472	132.0	472	12.65202283859253
9	101.8625	458.25	138.0	467	138.0	467	16.15689492225647
10	103.4375	460.6375	138.0	467	138.0	467	16.993998289108276
11	104.1	464.675	145.0	476	145.0	476	16.96102023124695
12	102.775	459.425	146.0	494	146.0	494	26.632399559020996
13	102.2375	459.5	146.0	494	146.0	494	15.338483095169067
14	102.425	462.8625	146.0	494	146.0	494	29.121227264404297
15	103.625	465.05	146.0	494	146.0	494	22.565642833709717
16	105.5875	473.6375	151.0	493	151.0	493	46.69662308692932
17	103.7625	466.8	151.0	493	151.0	493	40.465821743011475
18	104.3125	467.3625	151.0	493	151.0	493	44.38885545730591
19	103.8875	472.2125	151.0	493	151.0	493	93.22563004493713
20	103.4125	471.8875	151.0	493	151.0	493	42.19370460510254
21	103.7625	477.2125	151.0	493	151.0	493	50.73784279823303
22	103.7625	481.2	151.0	493	151.0	493	101.15484499931335
23	105.175	485.4875	151.0	493	151.0	493	93.21193981170654
24	106.675	490.2125	151.0	493	151.0	493	173.9605906009674
25	104.7625	489.4625	151.0	493	151.0	493	154.01931190490723
26	105.575	491.15	154.0	506	154.0	506	121.30120539665222
27	105.9375	507.8125	154.0	506	154.0	506	292.43632102012634
28	107.55	499.6375	161.0	528	161.0	528	198.31960940361023
29	110.575	504.8375	163.0	512	163.0	512	363.2582154273987
30	109.375	503.3	167.0	557	167.0	557	286.6912052631378
