iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	98.28075	463.0125	107.545	473	107.545	473	7.332077264785767
1	98.7805	457.625	107.545	473	107.545	473	11.986270427703857
2	99.09190625000001	457.75	110.5225	479	110.5225	479	12.382606029510498
3	99.14025	458.3625	110.5225	479	110.5225	479	12.890762567520142
4	99.515125	458.0375	114.51750000000001	477	114.51750000000001	477	14.022462844848633
5	99.59309375	461.7625	114.51750000000001	477	114.51750000000001	477	14.742161989212036
6	99.74165625	462.1875	114.51750000000001	477	114.51750000000001	477	14.103294849395752
7	99.98040625	461.45	114.51750000000001	477	114.51750000000001	477	13.7579026222229
8	100.28815625	463.0375	114.53500000000001	470	114.53500000000001	470	17.132859230041504
9	101.0899375	466.5125	120.4825	485	120.4825	485	17.29405117034912
10	101.24278125000001	470.2125	131.43500000000003	493	131.43500000000003	493	19.835428476333618
11	101.70003125000001	471.85	131.43500000000003	493	131.43500000000003	493	24.884485244750977
12	102.82418750000001	476.05	131.43500000000003	493	131.43500000000003	493	28.241569995880127
13	103.65284375	478.75	132.425	496	132.425	496	32.78733944892883
14	102.4919375	474.2875	132.425	496	132.425	496	17.92802357673645
15	105.07384375000001	483.9125	152.36	502	152.36	502	40.41321802139282
16	105.7053125	485.6875	152.36	502	152.36	502	44.40138602256775
17	105.423125	483.85	152.36	502	152.36	502	47.44678473472595
18	105.674625	483	152.36	502	152.36	502	79.5886218547821
19	106.0859375	478.075	156.34750000000003	503	156.34750000000003	503	30.48516035079956
20	106.4636875	476.6	156.34750000000003	503	156.34750000000003	503	25.21711015701294
21	108.071375	486.8875	165.315	507	165.315	507	71.90140390396118
22	108.97890625000001	487.9625	165.315	507	165.315	507	72.9513304233551
23	110.19903125	493.675	165.315	507	165.315	507	87.2939784526825
24	110.53540625000001	493.7875	165.315	507	165.315	507	123.0797426700592
25	109.9065625	495.95	165.315	507	165.315	507	233.21339225769043
26	110.58934375000001	502.1375	165.315	507	165.315	507	143.89914298057556
27	111.23721875000001	497.35	165.315	507	165.315	507	104.88053250312805
28	109.31803125	491.9625	165.315	507	165.315	507	97.92676782608032
29	107.87587500000001	490.275	165.315	507	165.315	507	96.86952638626099
30	112.7860625	496.2625	166.205	550	166.205	550	107.7728419303894
